,Grid_id,v1_lng,v1_lat,v2_lng,v2_lat,v3_lng,v3_lat,v4_lng,v4_lat,v5_lng,v5_lat,v6_lng,v6_lat,c_lng,c_lat,Index
6521,dfee96c50af55fc3,103.93406,30.78799,103.93814,30.79216,103.93609000000001,30.7978,103.92996,30.79927,103.92588,30.7951,103.92793,30.78945,103.93201000000003,30.79362833333333,1
5679,a23e5b3ee2d06c10,103.93412,30.74162,103.93819,30.745790000000003,103.93615,30.75143,103.93002,30.7529,103.92594,30.74873,103.92799000000001,30.743090000000002,103.93206833333333,30.74726,2
4309,b8fb4a2edafc08d1,103.93418,30.69527,103.93825,30.69943,103.93621,30.705070000000003,103.93008,30.70655,103.92600999999999,30.702379999999998,103.92806,30.696740000000002,103.93213166666668,30.70090666666667,3
3832,e9cd66c924736c76,103.93424,30.64892,103.93831,30.653090000000002,103.93627,30.65873,103.93015,30.6602,103.92608,30.65604,103.92811999999999,30.6504,103.932195,30.654563333333332,4
93,c7c44543ff43fbd6,103.9343,30.602590000000003,103.93836999999999,30.606759999999998,103.93633,30.6124,103.93021,30.613870000000002,103.92614,30.609709999999996,103.92819,30.60407,103.93225666666666,30.608233333333335,5
5597,b3841a1c37d6edeb,103.93437,30.55627,103.93843000000001,30.56043,103.93639,30.56607,103.93028000000001,30.56755,103.92621,30.563390000000002,103.92825,30.55775,103.93232166666667,30.56191,6
7423,7adaf4bbaff3cfd4,103.93609000000001,30.7978,103.94017,30.80197,103.93812,30.80762,103.93199,30.80909,103.92791,30.804909999999996,103.92996,30.79927,103.93403999999998,30.803443333333334,7
2602,4be1e82482dabd2d,103.93615,30.75143,103.94022,30.7556,103.93818,30.76125,103.93205,30.76272,103.92797,30.758540000000004,103.93002,30.7529,103.93409833333334,30.757073333333338,8
1121,f667f42649663e1a,103.93621,30.705070000000003,103.94028,30.70924,103.93823,30.714879999999997,103.93211,30.716359999999998,103.92804,30.712190000000003,103.93008,30.70655,103.93415833333331,30.710714999999997,9
8387,03f1792d7ee1f55b,103.93627,30.65873,103.94034,30.6629,103.93829000000001,30.668540000000004,103.93217,30.670009999999998,103.9281,30.665840000000003,103.93015,30.6602,103.93422,30.66437,10
6769,602f92aa0525336e,103.93633,30.6124,103.9404,30.616559999999996,103.93835,30.6222,103.93224000000001,30.62367,103.92817,30.61951,103.93021,30.613870000000002,103.93428333333334,30.618034999999995,11
6192,36c5aff1e6b9af84,103.93639,30.56607,103.94046,30.57023,103.93841,30.575870000000002,103.9323,30.57735,103.92823,30.573190000000004,103.93028000000001,30.56755,103.93434500000001,30.57171,12
2096,4c7db41fbbef4c04,103.93812,30.80762,103.9422,30.811790000000002,103.94015,30.817429999999998,103.93401,30.8189,103.92993,30.814729999999997,103.93199,30.80909,103.93606666666666,30.81326,13
4030,b8e6e2be4ec50cfb,103.93818,30.76125,103.94225,30.765420000000002,103.9402,30.77106,103.93408000000001,30.77253,103.93,30.768359999999998,103.93205,30.76272,103.93612666666667,30.76689,14
376,a2d8f09283cfc427,103.93823,30.714879999999997,103.94230999999999,30.71905,103.94026,30.7247,103.93414,30.72617,103.93006,30.722,103.93211,30.716359999999998,103.93618499999998,30.720526666666668,15
6647,fb80b8a5988eacb2,103.93829000000001,30.668540000000004,103.94237,30.6727,103.94032,30.678340000000002,103.9342,30.67982,103.93013,30.67565,103.93217,30.670009999999998,103.93624666666666,30.674176666666664,16
2343,2bd0fe82e6ccaf55,103.93835,30.6222,103.94242,30.62636,103.94038,30.632,103.93426,30.63348,103.93019,30.629309999999997,103.93224000000001,30.62367,103.93630666666667,30.627836666666667,17
3986,48f51a8a374cd4dc,103.93841,30.575870000000002,103.94248,30.580040000000004,103.94044,30.58567,103.93432,30.58715,103.93026,30.582990000000002,103.9323,30.57735,103.93636833333335,30.581511666666668,18
2455,7035c1c5fbf24b34,103.94015,30.817429999999998,103.94423,30.821609999999996,103.94218000000001,30.82725,103.93605,30.82872,103.93196,30.824540000000002,103.93401,30.8189,103.93809666666668,30.823075,19
436,367c8942f852ac2f,103.9402,30.77106,103.94428,30.77523,103.94223000000001,30.78087,103.93611,30.78234,103.93203000000001,30.778170000000003,103.93408000000001,30.77253,103.938155,30.7767,20
5763,6e6eb6129d84d12e,103.94026,30.7247,103.94434,30.72887,103.94229,30.734509999999997,103.93616999999999,30.735979999999998,103.93209,30.73181,103.93414,30.72617,103.938215,30.730339999999998,21
1578,91c3d32a37c02041,103.94032,30.678340000000002,103.9444,30.682509999999997,103.94235,30.68815,103.93623000000001,30.68962,103.93215,30.68546,103.9342,30.67982,103.93827500000002,30.683983333333334,22
2358,69f57dc207254d89,103.94038,30.632,103.94445,30.63617,103.94241,30.641809999999996,103.93629,30.643279999999997,103.93222,30.639120000000002,103.93426,30.63348,103.938335,30.63764333333333,23
5795,013f37d8edbe8c0f,103.94044,30.58567,103.94451,30.589840000000002,103.94246,30.59548,103.93635,30.59695,103.93228,30.59279,103.93432,30.58715,103.93839333333334,30.591313333333336,24
2988,2a1dd895d90280a0,103.94049,30.53936,103.94456,30.54352,103.94252,30.549159999999997,103.93641,30.550629999999998,103.93234,30.546470000000003,103.93439000000001,30.540840000000003,103.93845166666665,30.544996666666666,25
5966,93667eabff8e791c,103.94223000000001,30.78087,103.94631,30.78505,103.94426999999999,30.79069,103.93814,30.79216,103.93406,30.78799,103.93611,30.78234,103.94018666666666,30.786516666666667,26
4487,0f56d90473d56e6f,103.94229,30.734509999999997,103.94637,30.73868,103.94431999999999,30.744320000000002,103.93819,30.745790000000003,103.93412,30.74162,103.93616999999999,30.735979999999998,103.94024333333333,30.74015,27
2627,bd91f42c849a63a1,103.94235,30.68815,103.94641999999999,30.692320000000002,103.94438000000001,30.69796,103.93825,30.69943,103.93418,30.69527,103.93623000000001,30.68962,103.94030166666666,30.693791666666666,28
814,d159e3031600bdb6,103.94241,30.641809999999996,103.94648000000001,30.645970000000002,103.94443000000001,30.651609999999998,103.93831,30.653090000000002,103.93424,30.64892,103.93629,30.643279999999997,103.94036,30.647446666666667,29
5195,fd482be88a19d112,103.94246,30.59548,103.94653000000001,30.59964,103.94449,30.60528,103.93836999999999,30.606759999999998,103.9343,30.602590000000003,103.93635,30.59695,103.94041666666665,30.601116666666666,30
1810,81235e5f17c36393,103.94252,30.549159999999997,103.94659,30.553320000000003,103.94454,30.55896,103.93843000000001,30.56043,103.93437,30.55627,103.93641,30.550629999999998,103.9404766666667,30.554795000000002,31
4975,1415854ca1ca8351,103.94426999999999,30.79069,103.94835,30.794859999999996,103.9463,30.80051,103.94017,30.80197,103.93609000000001,30.7978,103.93814,30.79216,103.94222,30.796331666666664,32
380,5dc937b5699e1bb7,103.94431999999999,30.744320000000002,103.9484,30.748490000000004,103.94635,30.75413,103.94022,30.7556,103.93615,30.75143,103.93819,30.745790000000003,103.94227166666666,30.74996,33
8129,da1b4a442840e93d,103.94438000000001,30.69796,103.94845,30.70213,103.94641,30.70777,103.94028,30.70924,103.93621,30.705070000000003,103.93825,30.69943,103.94233000000001,30.703600000000005,34
708,c5ea541daec969bd,103.94443000000001,30.651609999999998,103.94851,30.65578,103.94646,30.66142,103.94034,30.6629,103.93627,30.65873,103.93831,30.653090000000002,103.94238666666666,30.657254999999996,35
3665,267d2b84b81da247,103.94449,30.60528,103.94856,30.609440000000003,103.94651,30.61508,103.9404,30.616559999999996,103.93633,30.6124,103.93836999999999,30.606759999999998,103.94244333333334,30.610920000000004,36
1265,70496b7ad9dc3a66,103.94454,30.55896,103.94861,30.56312,103.94657,30.568759999999997,103.94046,30.57023,103.93639,30.56607,103.93843000000001,30.56043,103.9425,30.564594999999997,37
5379,6bcb88da44ad0736,103.9463,30.80051,103.95038000000001,30.804679999999998,103.94833,30.81032,103.9422,30.811790000000002,103.93812,30.80762,103.94017,30.80197,103.94425,30.806148333333336,38
6346,ca7459f88cc94ae0,103.94635,30.75413,103.95043000000001,30.7583,103.94838,30.76395,103.94225,30.765420000000002,103.93818,30.76125,103.94022,30.7556,103.94430166666666,30.759775,39
16,e8c28e64215c5e9c,103.94641,30.70777,103.95048,30.711940000000002,103.94843,30.717579999999998,103.94230999999999,30.71905,103.93823,30.714879999999997,103.94028,30.70924,103.94435666666668,30.71341,40
1056,04f63d8ff82b7a49,103.94646,30.66142,103.95053,30.66559,103.94849,30.671229999999998,103.94237,30.6727,103.93829000000001,30.668540000000004,103.94034,30.6629,103.94441333333333,30.667063333333335,41
2071,c166a2137e03b0eb,103.94651,30.61508,103.95059,30.61925,103.94854000000001,30.62489,103.94242,30.62636,103.93835,30.6222,103.9404,30.616559999999996,103.94446833333332,30.62072333333333,42
942,a39177be91e09d7b,103.94657,30.568759999999997,103.95064,30.57292,103.94859,30.578559999999996,103.94248,30.580040000000004,103.93841,30.575870000000002,103.94046,30.57023,103.944525,30.57439666666667,43
4326,9be3ac12b48ef43f,103.94833,30.81032,103.95241,30.8145,103.95036,30.820140000000002,103.94423,30.821609999999996,103.94015,30.817429999999998,103.9422,30.811790000000002,103.94627999999999,30.815965000000002,44
3469,b6a1bbefd0a69630,103.94838,30.76395,103.95246,30.76812,103.95040999999999,30.77376,103.94428,30.77523,103.9402,30.77106,103.94225,30.765420000000002,103.94632999999999,30.769590000000004,45
7306,62d8702223973455,103.94843,30.717579999999998,103.95251,30.72175,103.95045999999999,30.727390000000003,103.94434,30.72887,103.94026,30.7247,103.94230999999999,30.71905,103.946385,30.723223333333337,46
7047,5e9ff70c8c2acbe2,103.94849,30.671229999999998,103.95255999999999,30.6754,103.95052,30.681040000000003,103.9444,30.682509999999997,103.94032,30.678340000000002,103.94237,30.6727,103.94644333333333,30.676869999999997,47
5308,0102074a005f3ef6,103.94854000000001,30.62489,103.95260999999999,30.62905,103.95057,30.634690000000003,103.94445,30.63617,103.94038,30.632,103.94242,30.62636,103.94649500000001,30.63052666666667,48
351,4fc4d5b75d30e71b,103.94859,30.578559999999996,103.95266,30.582720000000002,103.95062,30.588359999999998,103.94451,30.589840000000002,103.94044,30.58567,103.94248,30.580040000000004,103.94655,30.584198333333333,49
1931,f87326201aba5020,103.94865,30.53224,103.95271,30.5364,103.95067,30.542040000000004,103.94456,30.54352,103.94049,30.53936,103.94254000000001,30.533720000000002,103.94660333333333,30.53788,50
4694,f76ea00790087c76,103.95036,30.820140000000002,103.95444,30.82432,103.95239000000001,30.829959999999996,103.94626,30.831429999999997,103.94218000000001,30.82725,103.94423,30.821609999999996,103.94831000000003,30.825784999999996,51
